"","zip","X1br_rent","X2br_rent","X3br_rent","studio_rent","all_rent","X1br_availability","X2br_availability","X3br_availability","studio_availability","population","population_density","median_household_income","mean_household_income","land_area","water_area","white","black","asian","hispanic","male_population","median_age","missing_X1br_rent","missing_X2br_rent","missing_X3br_rent","missing_studio_rent","missing_all_rent","missing_median_household_income","missing_mean_household_income","missing_black","missing_asian"
"22",94060,2203.51009912777,3008.00594560741,4072.00175241642,1707.1630024511,2777.1110193884,0,0,0,0,1554,21.1999999999998,101319,134588,72.95,0.34,63.4,1,0.9,51.6,54.3,38,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"23",94061,2170,2795,4172,1525,2350,51,43,12,8,36245,9385.7,75033,99343,3.86,0,65,2.2,6.4,38.7,48.9,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24",94062,2100,3200,4275,1795,2335,43,11,18,7,25876,360.3,122260,192162,70.89,0.94,81.7,1.1,6.7,14.5,49.1,44.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25",94063,3050,3772,4605,1700,3420,71,70,23,8,30949,3906.3,51690,70811,6.82,1.1,46,2.9,4.9,71,53.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",94065,2560,3450,4208.20335168542,2412.91423134218,3195,12,15,0,0,11359,3673.4,133981,155720,2.44,0.65,54,1.9,35.8,7.7,47.7,40.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",94066,2860,3195,3575,1575,2950,77,53,16,11,41130,6706,78521,94655,6.13,0,49.5,2.3,25.4,29.2,49.3,38.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28",94070,1875,2600,3900,1737,1997,33,31,10,6,29166,4747.2,120579,155509,6.14,0,79.3,0.8,11.5,10,48.3,42.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29",94074,2901.6942412059,3427.2612475253,4875.00153392302,1490.492876534,3685.34716111273,0,0,0,0,214,11.5,162950,116295,18.54,0.03,87.9,0.5,5.6,9.4,56.5,43,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30",94080,1975,2700,3495,1734.57189342785,2665,26,39,25,0,63975,6158.2,73927,90882,10.28,0.11,37.4,2.5,36.6,34,49.4,38.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",94085,2322,3045,3250,1795,2619,66,71,21,11,21247,6087.9,94870,102730,3.49,0,39.9,2,34.3,36.8,52.5,32.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",94086,2314,2716,3619,1860,2454,182,155,28,7,45697,10187.2,92931,111753,4.49,0,39.8,2.5,42,21.3,51.2,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33",94087,2199,2764,4000,1802,2764,55,62,41,4,54293,8248,110348,135069,6.58,0,47.2,1.4,43.1,9,49.2,38.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34",94089,2556,3404,3219,2625,2902,55,41,14,4,19245,3205,80625,96423,5.99,0.01,41.9,2.3,39.1,22.2,49.4,37.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35",94102,3497,4687,6075,2195,3495,142,94,6,96,31176,46472.4,22252,48334,0.670000000000002,0,45.4,13.9,25.4,18.9,59.9,40.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",94103,3600,4500,5697,2576,3777,201,110,12,50,27170,20036.1,44145,73372,1.36,0,47.1,11,25.6,21.9,60.1,39.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",94104,2613.62791382829,3344.83982088573,4329.71070858558,2360.33464294002,3217.76577833907,0,2,0,0,406,5232.1,26223,96572,0.0800000000000018,0,34.5,3,55.7,7.6,53.7,47.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"38",94105,3950,6000,6300,3112,4307,112,87,7,22,5846,12966.2,142389,211655,0.370000000000005,0.0799999999999998,56.7,2.2,34.9,5.9,56.2,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",94107,3595,4600,6190,2597,3895,183,135,23,34,26599,14131.4,117556,150750,1.79,0.09,59.2,6.7,24.2,10.4,53.9,36.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",94108,3395,4145,6520.48155131353,2087,3050,65,22,2,38,13768,50982.6,33979,84788,0.269999999999996,0,35.3,1.9,57.8,5.9,48.3,43.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",94109,3195,4200,6095,1995,3400,281,187,35,165,55984,43000.4,58915,93415,1.19,0.11,59.5,4,27.3,10.9,50.9,37.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42",94110,3165,4095,5000,2350,3700,104,110,49,38,69333,29756.1,79516,106657,2.33,0,58.5,3.7,12.8,38.4,52.5,36.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",94111,3751,5336,6275.64403847445,3243,3845,17,14,1,10,3713,6940.8,93393,137929,0.340000000000003,0.19,57.6,2.2,36.4,5.2,53.3,51.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",94112,2222,3000,4250,1650,2775,40,61,29,15,79407,23605.5,72396,88251,3.36,0,26.4,4.2,49.6,29.2,49.6,39.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",94114,3295,4600,6500,2195,4000,121,102,44,19,31124,21836.9,115734,151865,1.43,0,79.5,1.9,10.3,9.4,59.1,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46",94115,3345,4450,6350,2300,3800,103,119,36,40,33021,29595.7,73797,123781,1.12,0,60.8,12.5,19,7.9,47,36.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47",94116,1787,2825,4247,1595,2595,26,50,14,5,43698,16659,82648,111568,2.59,0.04,38.1,1.2,54.9,6.1,48.5,43.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",94117,2900,4250,5400,2100,3690,90,100,43,27,39169,23202.4,91303,122381,1.69,0,73.7,6.2,11.1,10,50.8,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49",94118,2800,3700,4995,2125,3500,65,103,37,20,38319,19435.1,81545,127332,1.95,0.02,55.9,1.7,35.2,6.4,47.2,38.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"50",94121,2400,3200,4000,1745,2750,69,67,19,14,41203,13268.2,72371,100179,3.08,0.02,45.8,1.7,45.7,6.1,48.1,42.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51",94122,2400,3300,3900,2000,2995,82,77,38,19,56023,23699.3,77889,99387,2.36,0,43,1.5,49,6.1,48.5,39.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"52",94123,3200,4995,7250,2350,3600,113,93,23,39,23088,20863.4,107226,153773,1.02,0.09,84.3,0.8,10.5,5.4,46.1,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53",94124,1925,2872,3350,1878.94563300254,2990,4,22,9,1,33996,5656.5,46692,66734,4.93,1.08,12.1,33.7,30.7,25,48.8,34.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"54",94127,2325,3500,4800,1661.25020058287,3700,12,7,19,1,19289,10872.7,128079,162704,1.77,0,60.4,3.4,28,8.9,50.2,45.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",94128,3097.04281551792,3476.84679501309,4069.86678392618,1640.45551286723,3005.93529886957,0,0,0,0,69,19.6000000000004,115179.324630494,175125.487101937,3.52,0.01,56.5,8.7,7.3,30.4,72.5,46.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"56",94129,3362,5605,5148.27560194776,3257.46338239354,3751,9,7,0,0,3183,1377.8,121313,178646,2.3,0.01,80.1,2.2,7.9,7.8,52.3,30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"57",94130,3690,4243.91115618875,4227.78106087731,2751.77167341899,3690,5,0,0,0,2880,3196.2,36553,66509,0.900000000000002,0,35.1,25.1,18.2,23,54.2,26.2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",94131,2895,3800,5550,2125,3695,49,50,37,10,26881,12806.1,94770,123938,2.07999999999999,0.02,67.3,4.6,18.5,12.6,52.3,42.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",94132,2580,3137,4170,1949,2850,42,30,26,5,28129,7788.4,67943,89203,3.11,0.5,39.6,8.6,40.7,11.6,46.2,32.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60",94133,3000,4600,6550,2459,3575,74,73,13,16,26237,26110.9,46841,83652,0.760000000000005,0.25,41.4,2.2,51.8,5,49.2,43.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61",94134,1425,2800,3500,1845,2700,11,27,17,4,40798,16755.9,59690,77257,2.4,0.04,16.2,9.6,56.4,21.4,48.9,39.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62",94158,3635,4849,4392.63860047844,3207,3818,62,42,0,9,4792,4075.2,64594,99614,0.66,0.52,47.6,3.7,40.5,7.3,54.7,33.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63",94301,2825,3825,5650,2195,3500,46,52,20,16,16995,7161.3,135709,228159,2.37,0,75.9,2,16.2,5,49.7,43.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64",94303,1894,2595,4725,1565,2440,52,16,40,16,45467,5230.1,76813,123603,7.96,0.73,39.8,10.9,15.4,41.8,49.8,32.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65",94304,2875,4475,4910.16397349873,2660,3765,5,9,0,3,3627,556.6,104531,154392,6.5,0.02,65.6,1.9,27.5,4.8,48.1,39.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66",94305,2879.86030432215,4000,4378.71330727591,1927.41729027944,3750,1,3,0,0,13862,2679.7,55543,119000,5.13,0.05,57.5,4.7,27.3,10.4,54.2,22.6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",94306,2095,3400,4900,1945,2950,76,92,34,14,26469,6322.1,111432,151297,4.19,0,60.6,2.1,29.5,7.8,48.9,41.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68",94401,2250,2950,4249,1775,2559,79,77,8,8,34429,8154.2,73023,92267,3.15,1.08,48,3.6,15.9,40.8,50.1,36.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69",94402,2312,2898,5022,1980,2700,24,42,10,6,23981,4933.6,108701,151964,4.86,0,68.3,1.2,18.5,14.7,48.5,42.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",94403,2529,3317,3662,1943,3000,97,125,58,17,39642,6836.6,92123,116979,5.63,0.17,60.7,2,21.6,20.8,48.3,39.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71",94404,2503,3071,4200,2019,2763,259,248,25,5,33749,6943,114451,134831,4.26,0.6,46.9,1.9,43.5,6.9,48.1,39.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72",94501,1750,2150,2950,2067,2050,71,67,21,17,60212,5278.4,71096,90619,7.93,3.48,51.9,7.2,28.5,11.9,47.9,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73",94502,2378,3441.37516111166,4113.21062703304,1787.76254111727,2970,5,1,1,0,13600,3514,115428,139217,2.68,1.19,45.6,3,43.2,6.7,47.8,44.9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"74",94503,1667,1619,1999,1513.98513847564,1697,3,7,4,0,19681,1258.3,82205,97702,12.96,2.69,39.1,7.9,32.6,25.9,49,35.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"75",94505,1091.8956209569,1191.34977922949,2075,387.630952785183,1950,1,2,4,0,13403,620.9,107972,129267,16.27,5.32,81.5,4.1,3.9,15.7,50.3,39.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"76",94506,1871.4818484093,2308,3650,1518.4455538967,2315,1,14,9,0,22452,1194.3,164873,200408,18.79,0.01,71.9,1.6,20.9,6,48.5,43.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"77",94507,2488.01500408554,2649.9976136558,3750,1062.73779855293,3350,1,1,6,0,14889,1172.5,149973,215229,12.7,0,87,0.5,8.1,5.8,49.6,47.9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"78",94508,1298.35317912519,1319.07711853987,1286.8771851991,975,932,1,0,0,3,3661,207.9,63393,81555,17.45,0.16,72.7,4.2,9.6,18.8,50.5,27.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"79",94509,1050,1295,1595,843.289024049894,1385,27,55,39,2,62439,3505.1,54441,66067,16.43,1.38,55.1,13.9,6.1,35.7,48.8,33.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",94510,1250,1650,2200,1495.36103484015,1650,16,24,15,0,27088,865.1,88904,108949,27.95,3.36,72.5,5.6,11.1,12,48.1,42.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"81",94511,2058.26433387687,2794.93738261299,4173.55418312111,1799.19759854946,2643.98163955626,0,1,0,1,2137,384.1,33771,57414,5.56,0,86.2,1.9,2.2,13.1,53.5,52.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"82",94512,2151.26136005318,2826.17720127127,3979.5824866933,1869.77186270522,2590.44656596454,0,0,0,0,108,5.39999999999964,153359,136158,20.16,0.01,73.2,1.9,3.7,23.2,55.6,47,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"83",94513,1362,1595,1950,1794.20575245848,1850,6,7,23,1,54605,703.6,88219,100523,75.66,1.95,68.4,6.3,7.6,27.2,48.7,35.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"84",94514,1981.29414816559,2938.68935162571,3457.0138770158,1245.79681851393,2637.83957530081,0,0,2,0,1360,47.1000000000004,52031,62372,28.71,0.18,70.8,4.6,1.2,38.5,53.1,33,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"85",94515,1147,3400,2600,1090.81470363641,2500,4,5,5,0,7050,66.6000000000004,56688,92299,105.65,0.18,76.6,0.5,1.3,41.1,50.4,43.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"86",94516,2069.52869418768,2637.89470294937,4091.54098696515,1256.17267102773,2449.92950871535,0,0,0,0,211,241.3,98438,107126,0.870000000000001,0,89.1,1,5.7,1,55,43.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"87",94517,1663.10109847003,2533.24546721252,2600,571.665585898721,2600,0,1,3,1,12385,216.5,115570,135099,57.22,0,84.7,1.5,6.1,9.5,49.1,45.1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"88",94518,1574,1886,2050,1584.15537333913,1870,18,26,10,0,26778,4925.3,71663,88213,5.44,0,67.7,3.2,12,23,49.4,40.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"89",94519,1624.58545668579,1572,2147,856.683274603736,2100,1,4,18,0,18453,4220.8,71262,86652,4.37,0,70.4,2.7,9.3,24.5,49.9,38.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"90",94520,1350,1605,2300,1045,1645,63,78,14,4,37208,3688,48116,59054,10.09,0,53.1,5.1,8.6,52.9,51.8,31.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",94521,1400,1700,2237,1149.91927205129,1795,10,24,16,1,41249,3182.2,81140,98747,12.96,0,70.9,2.8,13.3,17.6,48,41.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"92",94523,1830,2278,2905,1555,2198,62,125,26,10,33569,4639.7,77117,100916,7.24,0,74.9,2.1,13.7,12.1,48.5,40.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"93",94525,1169.22396597269,1506.3711551321,2500,473.141235164629,1562,1,2,3,0,3127,1021.5,81304,94581,2.35,0.71,79.8,4.9,3.5,15.8,48.9,45.7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"94",94526,1670.91135803257,2265,3500,1306.31787124195,2265,1,15,9,0,31102,2082.9,120571,157341,14.93,0,85.5,0.7,8.4,6.9,48.5,45.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"95",94528,5802.21728734265,5609.26857499541,10062.11871601,4479.02739652697,5700.1127720553,0,0,0,0,964.000000000004,411.1,219688,543285,2.34,0,93.1,3.63951161856405,3.8,3.3,49,50.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"96",94530,1703,2187,2850,1120,1900,14,22,8,5,23877,4944.9,78915,98556,4.83,0,53.4,7.8,27.2,11.2,48.1,43.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97",94531,1771,1737,1850,1504.30932834129,1795,18,14,18,0,40290,3677.7,90448,100379,10.96,0,39.6,22.3,17.2,25.4,48.5,33.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",94533,987,1392,1595,958.729237332374,1275,34,55,21,1,69277,3187.3,55561,67361,21.6,0.13,42,17.7,12.7,32.8,49,33.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"99",94534,1470,1754,2175,1284.208454564,1714,10,7,8,1,36416,456.6,95427,113566,79.16,0.6,55.2,11,19,16.8,49,39.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"100",94535,2151.44085156001,2400.53634509606,2055.81083995289,1832.96413213122,2251.4404962591,0,0,0,0,3793,993.3,52047,62841,3.81,0.01,64.4,12.2,7.2,15.6,56.1,22.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"101",94536,2052,2500,2650,1495,2359,90,118,25,5,68790,4716,85196,101918,14.58,0,41.3,4,38.7,18.2,49.5,36.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102",94538,2144,2570,2985,1612,2340,165,147,40,8,61148,3675.3,81509,94143,16.46,0.18,36.9,4.1,41,22.3,50.2,34.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",94539,2187,2750,3200,2137.62768891095,2750,6,13,10,0,50031,1968.3,141319,158827,25.42,0,23.7,1.2,69.9,4.7,49.6,40.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"104",94541,1810,2135,2287,1757,1975,51,81,10,7,61635,8269.1,55193,69123,7.43,0.02,40.4,14.6,12.7,45,49.6,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105",94542,1691,2450,2365.83716659894,1597.33601243029,1930,11,13,1,0,12717,2229.5,82658,106719,5.7,0,43.2,14.6,23.4,20.3,48.7,34.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"106",94544,1635,1965,2300,903.725527869136,1841,110,89,31,1,73026,6664.8,62176,73695,10.96,0,33.1,11.2,19.6,46.3,49.6,32.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"107",94545,1595,1909,2297,1911.1362267458,1946,11,13,18,2,29707,1221,68965,86850,21.54,2.79,28.6,9.5,35.2,30.8,49.1,36.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"108",94546,1530,1910,2345,1300.16684510126,1845,40,59,16,2,42209,4357.9,71986,93089,9.42,0.26,63.1,5.9,16.6,18.8,47.9,41.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",94547,1268.22350588734,1625,2600,943.893592358621,1850,0,8,6,0,24092,3842.6,92320,107018,5.44,0.83,22.1,18.9,45.5,14.6,47.4,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
