zip,population,population_density,median_household_income,mean_household_income,land_area,water_area,white,black,asian,hispanic,male_population,median_age
95133,25401,7982.3,67444,86580,3.18,0,19.6,2.5,60.8,24.5,49.3,36.1
95134,15268,1562.2,104814,119323,9.48,0.29,33.7,4.2,50.8,14,52,31.9
95135,20120,657.7,113806,134791,30.59,0,36.8,2.1,52.6,11.3,47.9,43.5
95136,42989,9072.2,87564,104888,4.73,0,47.3,5,27.7,28.2,49,34.8
95138,18889,724.6,144912,191938,26.07,0,37.4,3.1,46.8,17.1,48.8,36.7
95139,6748,5482.1,95000,113708,1.23,0,60.6,3.9,15.7,28.2,50.3,37.4
95140,191,1.5,162167,148348,123.73,0.08,84.8,1.1,3.7,4.7,57.6,47.3
95148,45528,4782.4,105577,121847,9.42,0.1,21.3,3.2,57.2,26.4,50,36.6
95206,65004,425.6,43454,54231,144.92,7.8,23.8,14.7,18.9,56.5,49.9,27.7
95219,27884,431.5,75992,99636,56.86,7.76,54.1,9.4,20.7,23.5,48.1,36
95234,70,2,NA,NA,33.59,2.12,44.3,1.4,NA,90,57.1,25.5
95304,15706,96.4,78904,102837,159.44,3.49,65.7,10,7.4,29,62.4,37.2
95322,8942,49.3,43187,55855,174.18,7.26,68.7,1.2,1.7,53.9,51.3,33.8
95360,11712,34.8,44252,53896,334.72,1.68,67.1,2.1,1.7,61.1,49.8,31
95363,25237,213.3,56485,70924,118.04,0.3,51.5,5.7,4.7,58.3,50.8,29.9
95376,49859,6530.1,63446,78960,7.64,0,56.3,6.7,8.7,42.7,49.7,32.3
95377,30902,285.9,96548,106521,108.05,0.03,47.3,7.6,23.7,28.8,49.6,32.3
95387,636,5.5,44647,51208,115.89,0.03,47,0.5,3.3,77.8,52,29.1
95391,9959,412,105357,110042,23.75,0.42,36.8,9.1,38.5,17.6,49.7,31.5
95401,36981,1791.7,54840,66881,20.62,0.02,67.1,2.3,4.3,35.9,49.7,34
95403,45164,2046.6,58960,78963,22.01,0.06,70.9,2.7,5.6,28.2,49.8,36.3
95404,39761,497,66049,91225,79.97,0.02,78.2,1.9,4.1,21.6,48.5,40.5
95405,21399,3907.5,69018,88264,5.48,0,84,1.4,3.3,13.1,47,42.9
95407,39352,1734.6,54781,67399,22.68,0,53.6,3,6.3,51.6,51.5,30.4
95409,27187,703.7,65757,83484,38.37,0.26,84.6,1.6,4.1,11.9,46.4,49.3
95412,401,4.7,43125,50531,85.68,0,66.8,NA,0.5,26.7,51.9,44.1
95421,1592,7.3,63125,79646,216.63,0.31,87.9,0.2,2.5,9.4,52.8,51.5
95425,10841,51.2,57155,73673,205.71,5.9,76.8,0.5,1.1,29.9,50.3,41.8
95426,2147,105.8,60968,69185,20.28,0.01,91.2,0.7,0.7,6.3,51.2,50.2
95430,44,185.2,NA,NA,0.24,0,81.8,NA,NA,18.2,40.9,58
95436,5418,232.4,50654,63354,22.98,0.33,88.6,0.8,1.4,11.7,51.1,47.4
95439,675,246.5,48750,76061,2.74,0,72.3,0.4,1.6,28,50.2,42.9
95441,2014,19.4,61652,88288,101.91,1.82,74.3,0.4,0.9,38.1,54.6,42.1
95442,3178,129.9,56170,103011,24.41,0.06,86.6,0.6,2.2,14.9,49.8,49.8
95444,748,2764.1,71747,87560,0.27,0,76.2,0.1,2,27.8,47.5,43.7
95445,2093,23.7,37500,54560,85.54,2.84,84.4,0.3,1,19.2,50.1,51.8
95446,4750,143.6,41267,59155,32.92,0.17,87.7,0.7,1,11.3,54.5,49.1
95448,16852,89.1,64004,91080,188.5,0.56,77.2,0.6,1.3,29.1,50.2,43.5
95449,1507,11.5,29125,50178,130.59,0.37,67.5,0.5,0.9,30.9,54.5,39.2
95450,387,14,50500,76441,27.45,0.27,92.8,0.8,1,7.8,54,55.6
95451,11213,110.4,44644,58020,96.18,5.4,79.8,1,1,21.9,50,44.6
95452,1393,96.9,63180,144757,14.37,0,91.4,0.4,1.9,7,49.6,54.3
95457,2893,19,45862,60408,148.41,4.22,84.4,2.2,0.7,13.2,52.1,49
95461,3413,27.1,52917,68471,125.22,0.71,83,0.6,1,16.9,52,45.7
95462,1417,231.1,36900,49616,5.87,0.26,90.3,0.7,1.1,6.8,53.1,51.6
95465,2083,49.3,74429,100122,41.71,0.56,90.3,0.4,1.4,6.7,51.1,50
95467,5498,551.5,63958,76403,9.81,0.15,86.6,1.2,1.4,13,49.3,41.2
95471,522,362,41923,44377,1.44,0,84.9,0.8,1.3,10.9,53.5,47.6
95472,28255,408.4,70305,89449,69.14,0.04,89.9,0.8,1.7,10.2,48.2,48.8
95476,35394,313.8,58012,94132,111.99,0.82,80.4,0.5,2.1,28.2,48.1,44.9
95492,28532,1498.2,79017,92382,19.03,0.02,74,0.8,2.9,31.6,49.4,37.2
95497,1305,80.4,57400,87165,16.16,0.09,93.5,1.2,0.8,9,47.8,63.7
95606,196,5.4,175833,136648,36.32,0,69.4,1,1.5,16.8,52.6,40.8
95607,431,3.2,105433,84018,134.25,0.25,78,1.2,1.6,16.9,51.7,49.5
95612,1239,21.3,54167,66637,55.48,2.77,75.8,0.2,3.9,35.8,50.9,44
95615,834,34.7,60694,75121,23.24,0.83,67.6,0.1,2.3,54.3,53,37.9
95616,47032,1705.2,47946,78428,27.56,0.02,63.1,2.2,23.5,12,46.6,23.4
95618,27281,778.8,82490,107864,34.93,0.1,64.8,2.4,21.8,13.3,48.7,28.4
95620,20553,84.3,71043,80236,240.76,2.91,70.9,2.8,3.5,41.5,49.8,33.6
95625,155,134.2,73702,66093,1.15,0,81.9,NA,1.3,18.1,55.5,41.7
95637,370,17.5,78029,82147,21.09,0,74.1,9.7,0.3,20,50,52.7
95641,1986,42.2,35417,48280,44.62,2.48,74.8,1.3,3.7,29.8,53.1,50
95679,55,1.2,NA,NA,45.9,0.27,94.6,NA,1.8,10.9,50.9,47.1
95680,146,70.7,NA,NA,2.01,0.05,60.3,NA,2.1,55.5,52.7,33.7
95687,65096,1487.6,72555,84775,43.52,0.24,64.4,12.6,6.4,21.5,54.6,37.9
95688,34379,422,80727,99957,81.19,0.29,72.8,4.4,4.9,24.5,49.4,37.9
95690,2533,42.1,64681,91912,57.28,2.93,63.8,1.2,5.2,50.7,53.4,39
95694,9156,61.2,64815,82610,149.21,0.37,70.8,0.8,1.1,49.1,50.8,37.7
